,Brand,Processor,RAM (GB),Storage Type,Storage Size,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($),Price Category
5932,Samsung,AMD Ryzen 9,8,HDD,1024.0,Integrated,17.3,1366x768,8.0,3.05,Linux,934.87,Mid-End
5933,Acer,Intel i5,32,SSD,1024.0,AMD Radeon RX 6600,14.0,1366x768,8.9,2.56,Windows,1241.76,Mid-End
5934,Apple,Intel i7,32,SSD,2048.0,Nvidia RTX 3080,15.6,3840x2160,6.0,1.77,Linux,5488.81,Luxury
5935,Microsoft,AMD Ryzen 3,16,SSD,512.0,Nvidia RTX 2060,15.6,2560x1440,10.2,1.78,Linux,1269.27,Mid-End
5936,Apple,AMD Ryzen 3,8,SSD,512.0,AMD Radeon RX 6600,17.3,1920x1080,6.9,3.12,Windows,1337.38,Mid-End
5937,MSI,AMD Ryzen 3,8,SSD,2048.0,Nvidia RTX 3060,13.3,1920x1080,5.5,3.13,FreeDOS,1241.11,Mid-End
5938,Dell,Intel i9,32,SSD,1024.0,Nvidia RTX 3080,13.3,1366x768,7.6,1.93,Windows,2249.68,High-End
5939,HP,AMD Ryzen 9,16,HDD,1024.0,Nvidia RTX 3080,15.6,2560x1440,11.9,2.22,FreeDOS,2397.99,High-End
5940,Microsoft,Intel i5,64,SSD,1024.0,Nvidia GTX 1650,15.6,1920x1080,6.5,3.23,FreeDOS,2742.85,High-End
5941,Dell,Intel i7,64,SSD,256.0,Integrated,13.3,1920x1080,7.9,3.08,macOS,2025.96,High-End
5942,Lenovo,Intel i7,32,SSD,512.0,AMD Radeon RX 6600,16.0,1366x768,11.2,2.44,Linux,1778.37,High-End
5943,Dell,Intel i9,64,SSD,1024.0,Nvidia RTX 3080,13.3,1366x768,4.8,1.87,macOS,3438.18,Luxury
5944,MSI,Intel i5,4,SSD,512.0,Integrated,15.6,3840x2160,4.1,1.62,FreeDOS,1452.84,Mid-End
5945,HP,Intel i9,32,SSD,256.0,Nvidia RTX 3060,17.3,3840x2160,5.0,3.18,macOS,4901.86,Luxury
5946,Acer,AMD Ryzen 3,4,SSD,256.0,Nvidia RTX 3060,15.6,1920x1080,5.8,3.36,Windows,736.47,Low-End
5947,Apple,AMD Ryzen 7,16,SSD,512.0,Nvidia GTX 1650,17.3,2560x1440,4.2,1.87,macOS,2952.36,High-End
5948,Lenovo,Intel i9,64,SSD,512.0,AMD Radeon RX 6800,17.3,1920x1080,6.7,3.33,Windows,4196.89,Luxury
5949,HP,AMD Ryzen 5,16,SSD,512.0,Nvidia RTX 3080,14.0,1920x1080,10.6,1.49,FreeDOS,1194.49,Mid-End
5950,MSI,Intel i3,4,HDD,1024.0,AMD Radeon RX 6800,14.0,3840x2160,7.3,1.72,Windows,1512.18,High-End
5951,Razer,Intel i7,16,SSD,2048.0,Nvidia RTX 3080,13.3,2560x1440,9.9,1.98,FreeDOS,2457.99,High-End
5952,MSI,Intel i9,4,HDD,1024.0,Nvidia RTX 3080,13.3,1366x768,9.4,2.06,Linux,1329.18,Mid-End
5953,Acer,Intel i7,32,SSD,1024.0,AMD Radeon RX 6600,13.3,3840x2160,5.1,2.94,Linux,3192.94,Luxury
5954,Apple,Intel i5,32,HDD,1024.0,AMD Radeon RX 6600,13.3,3840x2160,10.4,1.97,FreeDOS,3244.88,Luxury
5955,Acer,AMD Ryzen 7,32,SSD,512.0,Integrated,17.3,1920x1080,11.0,2.6,FreeDOS,1370.07,Mid-End
5956,Apple,AMD Ryzen 5,32,HDD,1024.0,AMD Radeon RX 6800,15.6,2560x1440,11.1,1.67,macOS,2754.38,High-End
5957,Razer,Intel i5,64,HDD,1024.0,AMD Radeon RX 6600,14.0,1920x1080,5.1,3.24,FreeDOS,2812.92,High-End
5958,Asus,Intel i9,8,SSD,2048.0,Nvidia RTX 3080,17.3,1920x1080,5.7,1.39,macOS,1701.26,High-End
5959,HP,Intel i9,16,SSD,1024.0,Nvidia RTX 3060,13.3,2560x1440,10.8,1.36,macOS,2436.96,High-End
5960,Apple,AMD Ryzen 9,64,SSD,2048.0,Nvidia RTX 3060,16.0,3840x2160,6.1,1.72,macOS,10646.06,Luxury
5961,Samsung,Intel i3,8,SSD,1024.0,Integrated,17.3,2560x1440,7.8,1.5,Linux,909.3,Mid-End
5962,Acer,AMD Ryzen 9,32,SSD,1024.0,Integrated,17.3,1920x1080,10.5,1.68,Windows,2094.38,High-End
5963,Acer,AMD Ryzen 9,4,SSD,1024.0,AMD Radeon RX 6800,13.3,1366x768,9.0,1.69,Linux,1265.9,Mid-End
5964,Dell,AMD Ryzen 3,4,SSD,1024.0,Nvidia RTX 2060,15.6,3840x2160,10.0,3.44,Linux,1404.24,Mid-End
5965,Acer,Intel i3,64,HDD,1024.0,Nvidia GTX 1650,15.6,2560x1440,11.3,1.96,macOS,2234.96,High-End
5966,Microsoft,Intel i5,32,SSD,1024.0,AMD Radeon RX 6600,17.3,1366x768,7.8,2.38,FreeDOS,1446.59,Mid-End
5967,HP,Intel i9,16,HDD,1024.0,AMD Radeon RX 6600,13.3,1920x1080,8.2,2.5,Windows,1691.29,High-End
5968,Acer,AMD Ryzen 5,16,HDD,1024.0,Nvidia GTX 1650,16.0,1366x768,4.7,3.45,Windows,803.92,Mid-End
5969,Razer,Intel i7,8,SSD,256.0,Nvidia RTX 3060,16.0,3840x2160,7.7,2.46,macOS,3022.42,Luxury
5970,Apple,Intel i9,32,SSD,256.0,Nvidia RTX 2060,13.3,1366x768,7.6,3.11,Linux,3335.49,Luxury
5971,Dell,AMD Ryzen 7,32,SSD,2048.0,Nvidia GTX 1650,17.3,2560x1440,7.5,1.43,FreeDOS,2818.04,High-End
5972,Razer,Intel i3,16,SSD,512.0,Nvidia RTX 3060,13.3,3840x2160,8.1,3.06,Linux,2345.2,High-End
5973,MSI,Intel i7,64,HDD,1024.0,Nvidia GTX 1650,16.0,2560x1440,6.3,1.48,Linux,4351.33,Luxury
5974,Razer,AMD Ryzen 5,8,SSD,1024.0,Nvidia GTX 1650,16.0,2560x1440,4.7,1.42,Linux,1964.5,High-End
5975,Asus,Intel i3,8,SSD,2048.0,Nvidia RTX 3060,15.6,3840x2160,7.4,1.97,Windows,1553.66,High-End
5976,Acer,AMD Ryzen 9,64,HDD,1024.0,Nvidia GTX 1650,15.6,1920x1080,7.3,2.7,FreeDOS,3481.0,Luxury
5977,Lenovo,Intel i9,8,SSD,2048.0,AMD Radeon RX 6800,16.0,1920x1080,4.2,1.94,FreeDOS,1756.01,High-End
5978,Dell,Intel i3,4,SSD,1024.0,Nvidia GTX 1650,17.3,2560x1440,8.6,3.17,FreeDOS,996.97,Mid-End
5979,Lenovo,Intel i9,32,HDD,1024.0,Nvidia GTX 1650,14.0,3840x2160,5.0,1.21,Windows,3589.17,Luxury
5980,Asus,Intel i7,32,SSD,1024.0,Integrated,16.0,1366x768,7.7,1.28,Linux,1204.72,Mid-End
5981,Samsung,Intel i7,8,SSD,2048.0,Nvidia RTX 3060,17.3,3840x2160,10.0,1.31,FreeDOS,2367.45,High-End
5982,Dell,Intel i7,4,SSD,1024.0,Nvidia RTX 3080,14.0,1920x1080,9.6,3.43,Windows,1062.67,Mid-End
5983,Samsung,AMD Ryzen 7,64,SSD,2048.0,Integrated,15.6,1366x768,9.0,2.78,FreeDOS,1720.47,High-End
5984,Microsoft,AMD Ryzen 7,4,HDD,1024.0,AMD Radeon RX 6800,13.3,1366x768,10.7,3.47,Linux,755.45,Low-End
5985,MSI,Intel i5,64,SSD,2048.0,AMD Radeon RX 6800,13.3,1920x1080,5.0,1.41,Windows,3154.4,Luxury
5986,Razer,AMD Ryzen 7,4,SSD,512.0,Nvidia RTX 2060,16.0,1920x1080,7.4,2.46,FreeDOS,1754.45,High-End
5987,MSI,Intel i3,64,SSD,512.0,Nvidia GTX 1650,16.0,2560x1440,11.8,1.68,FreeDOS,3455.52,Luxury
5988,Razer,AMD Ryzen 9,4,SSD,256.0,AMD Radeon RX 6800,17.3,1366x768,10.8,2.68,Windows,1946.2,High-End
5989,Dell,AMD Ryzen 7,4,SSD,2048.0,Nvidia RTX 2060,13.3,2560x1440,10.0,1.92,Linux,1303.24,Mid-End
5990,Microsoft,AMD Ryzen 5,8,HDD,1024.0,Nvidia RTX 3060,15.6,1920x1080,10.3,2.07,FreeDOS,983.0,Mid-End
5991,Razer,Intel i5,64,SSD,256.0,Nvidia RTX 3060,17.3,3840x2160,10.8,3.24,FreeDOS,6058.05,Luxury
5992,Lenovo,AMD Ryzen 7,4,SSD,512.0,Nvidia RTX 3080,17.3,1366x768,9.1,3.18,FreeDOS,1091.82,Mid-End
5993,Apple,AMD Ryzen 9,4,SSD,256.0,Integrated,15.6,1920x1080,11.8,3.1,Linux,1632.4,High-End
5994,MSI,Intel i3,8,SSD,512.0,Nvidia RTX 2060,14.0,2560x1440,9.0,1.87,Linux,1305.43,Mid-End
5995,Dell,AMD Ryzen 9,32,SSD,512.0,AMD Radeon RX 6600,17.3,1920x1080,10.0,3.06,Windows,3010.21,Luxury
5996,Asus,Intel i3,16,SSD,2048.0,AMD Radeon RX 6600,14.0,1366x768,7.4,2.41,FreeDOS,740.31,Low-End
5997,Lenovo,AMD Ryzen 5,64,SSD,256.0,Nvidia RTX 3080,16.0,1366x768,9.8,3.03,Windows,2210.24,High-End
5998,Asus,AMD Ryzen 5,64,SSD,256.0,AMD Radeon RX 6600,15.6,1366x768,5.1,1.31,Windows,2277.35,High-End
5999,Asus,Intel i5,16,SSD,512.0,Nvidia GTX 1650,15.6,3840x2160,4.1,2.96,Windows,2114.14,High-End
6000,MSI,AMD Ryzen 7,8,SSD,1024.0,Nvidia RTX 2060,13.3,1366x768,5.2,2.23,Windows,1236.67,Mid-End
6001,Razer,Intel i7,32,HDD,1024.0,Nvidia RTX 3080,16.0,1920x1080,11.4,1.94,Linux,2586.49,High-End
6002,Acer,Intel i3,64,SSD,512.0,Integrated,17.3,2560x1440,7.7,2.73,Linux,1692.89,High-End
6003,Dell,AMD Ryzen 7,32,SSD,2048.0,Nvidia GTX 1650,17.3,1366x768,8.2,2.38,FreeDOS,1827.57,High-End
6004,Samsung,Intel i9,64,SSD,256.0,AMD Radeon RX 6800,14.0,2560x1440,6.2,2.49,FreeDOS,4843.81,Luxury
6005,Microsoft,Intel i5,32,SSD,2048.0,Nvidia GTX 1650,15.6,3840x2160,6.5,2.64,Windows,3043.26,Luxury
6006,Samsung,AMD Ryzen 5,32,SSD,2048.0,Nvidia RTX 3060,15.6,1920x1080,11.2,1.47,Windows,1643.4,High-End
6007,Acer,Intel i3,8,SSD,512.0,AMD Radeon RX 6600,15.6,1366x768,7.8,1.57,macOS,650.79,Low-End
6008,MSI,Intel i7,32,SSD,512.0,Integrated,14.0,3840x2160,7.8,1.7,Linux,2791.66,High-End
6009,Razer,AMD Ryzen 7,64,SSD,2048.0,Nvidia RTX 2060,14.0,1366x768,7.3,2.92,Windows,3308.01,Luxury
6010,HP,Intel i3,8,SSD,1024.0,Nvidia GTX 1650,15.6,1366x768,9.8,1.33,macOS,813.44,Mid-End
6011,Razer,Intel i5,64,HDD,1024.0,Nvidia RTX 3080,17.3,1920x1080,6.5,2.72,FreeDOS,2926.61,High-End
6012,Acer,Intel i5,64,SSD,1024.0,Nvidia RTX 2060,16.0,1920x1080,11.0,3.43,Windows,2531.9,High-End
6013,Asus,Intel i3,16,HDD,1024.0,Nvidia RTX 3060,14.0,3840x2160,6.6,2.56,FreeDOS,1477.74,Mid-End
6014,HP,AMD Ryzen 5,16,SSD,1024.0,Nvidia GTX 1650,15.6,2560x1440,6.6,2.86,macOS,1552.25,High-End
6015,Samsung,AMD Ryzen 3,4,SSD,512.0,AMD Radeon RX 6600,15.6,1920x1080,8.9,2.96,macOS,772.97,Low-End
6016,Razer,AMD Ryzen 3,64,SSD,2048.0,Nvidia RTX 2060,15.6,1366x768,11.6,1.7,Linux,2400.41,High-End
6017,Apple,AMD Ryzen 7,32,SSD,1024.0,Integrated,16.0,2560x1440,10.0,2.57,macOS,2608.41,High-End
6018,Apple,AMD Ryzen 3,8,SSD,1024.0,AMD Radeon RX 6600,16.0,1366x768,8.4,1.33,macOS,1077.92,Mid-End
6019,Lenovo,Intel i3,32,HDD,1024.0,AMD Radeon RX 6600,15.6,2560x1440,7.6,2.77,Windows,1511.45,High-End
6020,Samsung,Intel i7,16,SSD,512.0,Nvidia GTX 1650,14.0,3840x2160,4.4,3.22,FreeDOS,2435.5,High-End
6021,Dell,AMD Ryzen 5,64,SSD,2048.0,Integrated,16.0,1366x768,5.1,1.45,Linux,1602.68,High-End
6022,HP,AMD Ryzen 9,4,SSD,256.0,Nvidia GTX 1650,15.6,3840x2160,8.1,1.2,macOS,2837.45,High-End
6023,Samsung,Intel i9,64,SSD,256.0,Nvidia RTX 3080,16.0,2560x1440,11.7,3.4,Windows,5338.78,Luxury
6024,MSI,Intel i7,32,HDD,1024.0,Nvidia RTX 3080,16.0,3840x2160,9.9,1.37,macOS,3971.88,Luxury
6025,MSI,AMD Ryzen 3,4,SSD,2048.0,Nvidia RTX 2060,14.0,1366x768,7.9,2.7,Windows,766.0,Low-End
6026,HP,Intel i9,64,SSD,512.0,Nvidia RTX 2060,17.3,1366x768,11.1,1.64,macOS,3514.38,Luxury
6027,Dell,Intel i9,16,SSD,2048.0,Nvidia RTX 2060,14.0,3840x2160,9.9,2.62,Linux,3153.69,Luxury
6028,Samsung,AMD Ryzen 5,4,SSD,1024.0,Nvidia RTX 3060,17.3,3840x2160,4.5,2.03,FreeDOS,1533.57,High-End
6029,Asus,AMD Ryzen 3,16,SSD,1024.0,Nvidia GTX 1650,17.3,1366x768,4.3,2.39,macOS,960.62,Mid-End
6030,Acer,Intel i7,8,SSD,256.0,Nvidia RTX 2060,16.0,2560x1440,7.2,1.5,Linux,1595.69,High-End
6031,Dell,AMD Ryzen 7,16,SSD,2048.0,Nvidia RTX 3080,16.0,1366x768,4.1,2.83,Windows,1285.18,Mid-End
6032,Acer,AMD Ryzen 9,4,SSD,2048.0,Nvidia GTX 1650,16.0,3840x2160,8.7,2.21,Windows,2736.69,High-End
6033,Lenovo,AMD Ryzen 3,4,HDD,1024.0,AMD Radeon RX 6800,13.3,1366x768,8.7,1.88,FreeDOS,457.88,Low-End
6034,HP,Intel i9,64,SSD,2048.0,AMD Radeon RX 6600,14.0,2560x1440,6.9,2.01,macOS,4909.37,Luxury
6035,Samsung,Intel i7,8,SSD,1024.0,Nvidia RTX 2060,16.0,3840x2160,4.7,2.17,FreeDOS,2277.1,High-End
6036,Apple,AMD Ryzen 7,8,SSD,512.0,Integrated,13.3,2560x1440,9.1,2.97,FreeDOS,1557.69,High-End
6037,Microsoft,AMD Ryzen 3,32,SSD,512.0,AMD Radeon RX 6600,16.0,3840x2160,9.7,2.8,macOS,2449.37,High-End
6038,Dell,Intel i7,16,SSD,2048.0,AMD Radeon RX 6800,14.0,1366x768,5.7,1.44,FreeDOS,1412.82,Mid-End
6039,Samsung,Intel i9,64,SSD,256.0,AMD Radeon RX 6600,15.6,2560x1440,4.7,3.36,Linux,5527.19,Luxury
6040,Lenovo,AMD Ryzen 5,32,SSD,2048.0,Nvidia RTX 2060,16.0,3840x2160,10.9,2.24,macOS,2940.58,High-End
6041,Apple,Intel i7,16,HDD,1024.0,AMD Radeon RX 6600,17.3,1920x1080,5.5,1.71,macOS,2047.6,High-End
6042,Razer,AMD Ryzen 3,8,SSD,256.0,Nvidia GTX 1650,17.3,2560x1440,7.4,2.61,Windows,1663.96,High-End
6043,Acer,Intel i3,32,SSD,256.0,Nvidia RTX 3060,16.0,1920x1080,6.4,2.6,Windows,1609.08,High-End
6044,Apple,Intel i5,8,SSD,256.0,AMD Radeon RX 6600,14.0,1366x768,7.0,2.91,macOS,1231.11,Mid-End
6045,Acer,AMD Ryzen 5,8,HDD,1024.0,Integrated,15.6,1920x1080,4.3,1.95,macOS,641.49,Low-End
6046,HP,Intel i3,64,SSD,512.0,Nvidia RTX 3080,14.0,2560x1440,9.8,2.29,FreeDOS,2487.81,High-End
6047,Samsung,Intel i3,32,SSD,1024.0,AMD Radeon RX 6800,17.3,1366x768,5.6,2.71,Linux,1376.52,Mid-End
6048,HP,AMD Ryzen 9,16,HDD,1024.0,Nvidia GTX 1650,17.3,1920x1080,8.0,1.76,Linux,1732.28,High-End
6049,Lenovo,AMD Ryzen 9,16,SSD,512.0,AMD Radeon RX 6600,17.3,1920x1080,6.3,3.25,FreeDOS,2244.34,High-End
6050,HP,AMD Ryzen 9,64,HDD,1024.0,Nvidia GTX 1650,15.6,3840x2160,7.5,1.51,FreeDOS,6011.23,Luxury
6051,Asus,Intel i3,4,SSD,512.0,Nvidia RTX 3060,15.6,2560x1440,8.8,1.23,FreeDOS,920.34,Mid-End
6052,Lenovo,Intel i9,64,SSD,256.0,Nvidia RTX 2060,16.0,1366x768,11.3,1.22,Windows,3724.87,Luxury
6053,Lenovo,Intel i9,4,HDD,1024.0,Nvidia RTX 3080,14.0,1920x1080,5.2,2.6,FreeDOS,1328.76,Mid-End
6054,Samsung,AMD Ryzen 5,32,SSD,1024.0,Nvidia RTX 3060,15.6,3840x2160,4.1,2.65,Windows,2991.6,High-End
6055,Asus,AMD Ryzen 9,32,SSD,2048.0,AMD Radeon RX 6600,13.3,1366x768,4.4,1.92,Windows,2308.89,High-End
6056,Lenovo,Intel i7,16,SSD,1024.0,Nvidia GTX 1650,17.3,1366x768,10.1,2.18,Windows,1512.62,High-End
6057,Lenovo,Intel i3,32,SSD,2048.0,Nvidia RTX 2060,14.0,1920x1080,8.6,3.04,Linux,1469.29,Mid-End
6058,Razer,AMD Ryzen 7,8,HDD,1024.0,Nvidia RTX 2060,14.0,1366x768,8.7,1.65,Windows,1362.0,Mid-End
6059,Asus,AMD Ryzen 3,8,SSD,2048.0,Nvidia RTX 2060,16.0,3840x2160,4.1,2.74,FreeDOS,1562.16,High-End
6060,Lenovo,AMD Ryzen 3,32,SSD,512.0,AMD Radeon RX 6600,17.3,3840x2160,9.3,2.23,Linux,2354.84,High-End
6061,Dell,AMD Ryzen 5,32,SSD,2048.0,AMD Radeon RX 6800,14.0,1920x1080,9.0,2.52,macOS,1533.43,High-End
6062,Lenovo,AMD Ryzen 3,8,SSD,256.0,Nvidia RTX 3060,17.3,1366x768,11.8,2.01,Windows,708.16,Low-End
6063,Microsoft,Intel i3,16,HDD,1024.0,Nvidia RTX 3060,16.0,2560x1440,5.7,1.76,macOS,1233.58,Mid-End
6064,HP,Intel i3,8,SSD,256.0,AMD Radeon RX 6800,16.0,3840x2160,8.6,1.59,FreeDOS,1621.22,High-End
6065,Dell,Intel i3,32,SSD,1024.0,Nvidia RTX 3080,14.0,1920x1080,4.1,2.38,Linux,1202.55,Mid-End
6066,Razer,AMD Ryzen 5,16,SSD,1024.0,Nvidia RTX 2060,13.3,3840x2160,11.9,1.5,FreeDOS,2707.29,High-End
6067,Dell,Intel i7,16,SSD,2048.0,AMD Radeon RX 6600,16.0,1366x768,9.9,2.28,FreeDOS,1410.34,Mid-End
6068,Microsoft,Intel i9,8,HDD,1024.0,Nvidia GTX 1650,17.3,1366x768,8.7,2.57,Windows,1187.94,Mid-End
6069,Razer,AMD Ryzen 9,32,SSD,256.0,Nvidia RTX 2060,13.3,1366x768,6.9,2.0,macOS,3151.56,Luxury
6070,HP,Intel i5,4,SSD,512.0,AMD Radeon RX 6600,13.3,3840x2160,5.5,3.07,Windows,1537.16,High-End
6071,Dell,AMD Ryzen 7,64,SSD,1024.0,Nvidia RTX 3080,13.3,1366x768,8.6,2.54,FreeDOS,2380.68,High-End
6072,Microsoft,AMD Ryzen 7,8,SSD,1024.0,Nvidia RTX 3080,14.0,1920x1080,5.8,2.89,Windows,1392.84,Mid-End
6073,Microsoft,Intel i3,16,SSD,1024.0,Nvidia RTX 3080,13.3,3840x2160,9.8,1.45,Linux,1585.33,High-End
6074,Asus,Intel i9,8,HDD,1024.0,AMD Radeon RX 6600,13.3,1366x768,10.5,1.87,Windows,1158.51,Mid-End
6075,HP,Intel i3,4,SSD,2048.0,AMD Radeon RX 6800,13.3,3840x2160,7.6,1.2,macOS,1203.73,Mid-End
6076,Samsung,Intel i5,32,SSD,2048.0,AMD Radeon RX 6600,13.3,1920x1080,5.5,2.83,FreeDOS,1696.47,High-End
6077,Samsung,Intel i7,32,SSD,256.0,Nvidia GTX 1650,13.3,3840x2160,4.3,3.03,macOS,3163.33,Luxury
6078,Razer,Intel i9,8,SSD,512.0,Nvidia RTX 3080,13.3,2560x1440,5.8,1.67,Linux,2927.81,High-End
6079,Dell,AMD Ryzen 9,64,SSD,256.0,Nvidia RTX 3080,16.0,3840x2160,8.2,2.82,Windows,7266.06,Luxury
6080,Dell,Intel i3,32,SSD,1024.0,AMD Radeon RX 6800,16.0,1920x1080,4.8,1.23,Windows,1538.64,High-End
6081,Samsung,AMD Ryzen 5,32,SSD,2048.0,Nvidia RTX 3060,14.0,3840x2160,11.2,2.16,Windows,2645.32,High-End
6082,Samsung,AMD Ryzen 3,32,SSD,512.0,Integrated,15.6,2560x1440,10.3,1.41,Windows,1242.84,Mid-End
6083,Apple,AMD Ryzen 7,64,SSD,256.0,Integrated,14.0,1366x768,9.0,2.29,Linux,2434.02,High-End
6084,Acer,Intel i7,32,SSD,512.0,Nvidia GTX 1650,16.0,1366x768,10.3,2.63,Linux,1729.29,High-End
6085,Samsung,Intel i5,64,HDD,1024.0,Integrated,15.6,1366x768,10.6,3.15,Linux,1250.05,Mid-End
6086,Razer,AMD Ryzen 7,32,HDD,1024.0,Nvidia RTX 3080,14.0,1920x1080,10.6,1.69,macOS,2255.08,High-End
6087,Razer,Intel i3,8,SSD,2048.0,AMD Radeon RX 6800,15.6,3840x2160,4.8,3.4,Linux,2087.45,High-End
6088,Acer,AMD Ryzen 9,4,SSD,1024.0,Nvidia RTX 3060,14.0,1920x1080,7.5,2.06,FreeDOS,1566.68,High-End
6089,Apple,Intel i7,4,SSD,256.0,Nvidia GTX 1650,14.0,2560x1440,5.7,3.13,FreeDOS,2072.58,High-End
6090,Lenovo,AMD Ryzen 3,64,SSD,2048.0,AMD Radeon RX 6600,15.6,2560x1440,11.8,1.98,Linux,2818.91,High-End
6091,MSI,Intel i5,16,SSD,1024.0,AMD Radeon RX 6800,13.3,1366x768,9.1,3.28,macOS,1389.65,Mid-End
6092,HP,AMD Ryzen 9,8,SSD,256.0,Nvidia RTX 2060,15.6,1366x768,8.0,1.69,Linux,1671.27,High-End
6093,Asus,Intel i5,16,SSD,2048.0,Integrated,17.3,3840x2160,11.1,3.28,FreeDOS,1544.65,High-End
6094,Apple,Intel i9,64,SSD,1024.0,Integrated,17.3,2560x1440,7.4,3.43,FreeDOS,5395.18,Luxury
6095,Razer,AMD Ryzen 7,32,SSD,2048.0,Nvidia RTX 3080,17.3,1366x768,10.5,1.39,Windows,2637.17,High-End
6096,HP,Intel i7,64,SSD,1024.0,Integrated,13.3,3840x2160,7.6,3.04,Linux,3415.9,Luxury
6097,Samsung,Intel i3,16,SSD,512.0,Integrated,14.0,2560x1440,6.3,1.38,Linux,838.65,Mid-End
6098,Razer,AMD Ryzen 9,32,SSD,512.0,AMD Radeon RX 6600,14.0,1920x1080,4.0,2.16,FreeDOS,3752.14,Luxury
6099,Samsung,Intel i9,4,SSD,256.0,Nvidia RTX 3060,14.0,2560x1440,9.0,2.47,FreeDOS,1949.72,High-End
6100,Acer,AMD Ryzen 3,4,HDD,1024.0,Nvidia RTX 3060,13.3,1366x768,4.2,2.47,FreeDOS,702.88,Low-End
6101,HP,AMD Ryzen 3,8,SSD,2048.0,Nvidia RTX 2060,15.6,1366x768,8.6,2.0,Windows,737.88,Low-End
6102,MSI,Intel i9,8,SSD,256.0,Nvidia RTX 2060,17.3,1366x768,11.3,1.59,Windows,2127.2,High-End
6103,Apple,Intel i3,4,SSD,256.0,AMD Radeon RX 6600,16.0,3840x2160,4.7,1.96,FreeDOS,2050.17,High-End
6104,Acer,Intel i3,16,HDD,1024.0,AMD Radeon RX 6800,15.6,1366x768,8.1,2.74,Linux,929.67,Mid-End
6105,Asus,AMD Ryzen 7,16,SSD,512.0,Nvidia GTX 1650,13.3,1366x768,6.0,2.86,macOS,1388.52,Mid-End
6106,Asus,Intel i7,16,SSD,2048.0,Nvidia RTX 2060,17.3,2560x1440,4.3,3.29,macOS,2202.76,High-End
6107,MSI,Intel i3,64,SSD,1024.0,Nvidia RTX 2060,14.0,3840x2160,11.6,2.03,macOS,4300.99,Luxury
6108,Dell,Intel i5,64,SSD,256.0,Integrated,15.6,2560x1440,5.3,2.01,Linux,2200.72,High-End
6109,Microsoft,Intel i9,16,SSD,512.0,Nvidia RTX 3080,14.0,1920x1080,8.1,2.08,Windows,1871.44,High-End
6110,MSI,Intel i3,4,HDD,1024.0,AMD Radeon RX 6600,17.3,2560x1440,6.8,1.56,Linux,1112.19,Mid-End
6111,Asus,AMD Ryzen 3,8,HDD,1024.0,Integrated,13.3,2560x1440,4.9,1.92,Windows,744.59,Low-End
6112,Apple,AMD Ryzen 5,4,SSD,512.0,Nvidia RTX 3080,15.6,3840x2160,10.3,2.78,Windows,2577.56,High-End
6113,Microsoft,AMD Ryzen 3,16,SSD,2048.0,Nvidia GTX 1650,16.0,1366x768,10.1,3.42,Linux,876.96,Mid-End
6114,Samsung,Intel i3,16,SSD,2048.0,Nvidia GTX 1650,17.3,1366x768,11.8,3.39,Linux,858.47,Mid-End
6115,Acer,AMD Ryzen 9,32,SSD,256.0,Nvidia RTX 3080,15.6,1366x768,4.9,2.32,Linux,2468.43,High-End
6116,Acer,AMD Ryzen 7,64,SSD,2048.0,Nvidia RTX 3060,14.0,3840x2160,11.8,1.26,macOS,4788.39,Luxury
6117,Asus,AMD Ryzen 9,16,HDD,1024.0,Nvidia GTX 1650,17.3,2560x1440,8.4,2.69,macOS,2242.19,High-End
6118,Samsung,Intel i3,4,HDD,1024.0,AMD Radeon RX 6800,15.6,1366x768,5.4,3.29,Windows,685.49,Low-End
6119,Apple,Intel i3,4,SSD,512.0,Integrated,16.0,2560x1440,5.1,3.01,Linux,949.21,Mid-End
6120,MSI,AMD Ryzen 9,32,SSD,2048.0,Nvidia RTX 2060,14.0,3840x2160,9.9,3.22,Windows,5570.64,Luxury
6121,Acer,AMD Ryzen 9,8,HDD,1024.0,Nvidia RTX 2060,14.0,1920x1080,4.8,2.74,Windows,1346.91,Mid-End
6122,Asus,AMD Ryzen 3,16,SSD,1024.0,Integrated,13.3,1920x1080,5.9,2.57,Windows,684.74,Low-End
6123,Microsoft,Intel i7,4,HDD,1024.0,Integrated,14.0,3840x2160,8.2,2.22,Windows,1084.13,Mid-End
6124,Asus,AMD Ryzen 3,64,SSD,256.0,AMD Radeon RX 6800,13.3,3840x2160,4.6,2.87,Windows,3364.06,Luxury
6125,Asus,AMD Ryzen 5,4,SSD,1024.0,Integrated,13.3,1366x768,4.6,2.73,macOS,552.32,Low-End
6126,Acer,AMD Ryzen 3,32,SSD,512.0,AMD Radeon RX 6800,16.0,1920x1080,9.9,2.33,macOS,1500.94,High-End
6127,Acer,Intel i5,8,SSD,512.0,AMD Radeon RX 6800,16.0,3840x2160,7.9,1.9,Linux,1848.7,High-End
6128,Asus,AMD Ryzen 9,64,SSD,1024.0,Nvidia RTX 3060,13.3,2560x1440,8.5,2.65,Windows,4909.08,Luxury
6129,Acer,Intel i5,64,HDD,1024.0,AMD Radeon RX 6600,16.0,3840x2160,9.5,1.42,macOS,3745.87,Luxury
6130,Acer,Intel i5,16,SSD,2048.0,Nvidia RTX 3060,14.0,2560x1440,6.2,3.33,FreeDOS,1416.95,Mid-End
